MODEL dockq_wave qs_best
fold_7wo5_2_model_3 0.45373142857142856 0.552
fold_7wo5_1_model_4 0.4218 0.574
fold_7wo5_4_model_1 0.582 0.548
fold_7wo5_3_model_2 0.3822285714285715 0.55
fold_7wo5_1_model_0 0.569 0.574
fold_7wo5_2_model_4 0.502 0.632
fold_7wo5_4_model_4 0.3854571428571429 0.512
fold_7wo5_3_model_4 0.484 0.607
fold_7wo5_1_model_3 0.556 0.728
fold_7wo5_4_model_2 0.4119028571428571 0.575
fold_7wo5_2_model_2 0.43683428571428573 0.519
fold_7wo5_4_model_3 0.35487428571428575 0.544
fold_7wrv_2_model_2 0.2845932203389831 0.339
fold_7wrv_5_model_0 0.4186271186440679 0.681
fold_7wrv_5_model_3 0.4082203389830508 0.709
fold_7wrv_3_model_2 0.3046949152542373 0.419
fold_7wrv_3_model_0 0.41174576271186447 0.685
fold_7wrv_4_model_2 0.42159322033898305 0.726
fold_7wrv_5_model_1 0.48438983050847456 0.733
fold_7wrv_5_model_2 0.4419661016949153 0.718
fold_7wrv_4_model_3 0.4187796610169492 0.64
fold_7wrv_1_model_3 0.29157627118644064 0.394
fold_7wrv_5_model_4 0.4667118644067797 0.768
fold_7wrv_1_model_1 0.38954237288135596 0.658
fold_7wrv_1_model_0 0.3856949152542373 0.657
fold_7wrv_1_model_2 0.29588135593220344 0.431
fold_7wrv_3_model_3 0.28128813559322036 0.374
fold_7wrv_4_model_4 0.4321694915254237 0.744
fold_7wrv_2_model_1 0.29566101694915253 0.379
fold_7wrv_3_model_4 0.35481355932203396 0.541
fold_7wrv_2_model_3 0.272677966101695 0.404
fold_7wrv_1_model_4 0.2728305084745763 0.405
fold_7wrv_4_model_1 0.4491525423728814 0.742
fold_7wrv_2_model_4 0.28518644067796606 0.394
fold_7wrv_3_model_1 0.473728813559322 0.768
fold_7wrv_4_model_0 0.447271186440678 0.73
fold_7wrv_2_model_0 0.2785762711864407 0.4
fold_7x7o_3_model_1 0.7794615384615384 0.953
fold_7x7o_4_model_3 0.7841153846153845 0.956
fold_7x7o_2_model_4 0.7829711538461538 0.954
fold_7x7o_1_model_3 0.7941538461538462 0.954
fold_7x7o_5_model_4 0.7858076923076922 0.955
fold_7x7o_4_model_0 0.771625 0.955
fold_7x7o_2_model_1 0.7890769230769231 0.955
fold_7x7o_5_model_3 0.7918942307692307 0.954
fold_7x7o_3_model_3 0.7972692307692307 0.952
fold_7x7o_5_model_0 0.7850865384615384 0.954
fold_7x7o_1_model_4 0.7955192307692308 0.954
fold_7x7o_3_model_4 0.7739423076923077 0.953
fold_7x7o_2_model_3 0.7895961538461538 0.955
fold_7x7o_5_model_1 0.7916923076923077 0.956
fold_7x7o_1_model_1 0.7973653846153845 0.955
fold_7x7o_2_model_0 0.766028846153846 0.956
fold_7x7o_5_model_2 0.7981538461538462 0.955
fold_7x7o_1_model_0 0.7969230769230768 0.955
fold_7x7o_1_model_2 0.7920288461538461 0.955
fold_7x7o_2_model_2 0.7834230769230769 0.955
fold_7x7o_4_model_2 0.7826538461538461 0.953
fold_7x7o_4_model_4 0.7982211538461539 0.955
fold_7x7o_3_model_0 0.7895480769230769 0.953
fold_7x7o_4_model_1 0.7779807692307692 0.954
fold_7x7o_3_model_2 0.7983750000000001 0.953
fold_7yqx_5_model_4 0.4486168341708543 0.687
fold_7yqx_1_model_2 0.44209045226130655 0.692
fold_7yqx_3_model_3 0.4493178391959799 0.683
fold_7yqx_5_model_1 0.4427336683417086 0.687
fold_7yqx_1_model_3 0.4444773869346734 0.706
fold_7yqx_3_model_0 0.457821608040201 0.731
fold_7yqx_1_model_1 0.41812185929648243 0.706
fold_7yqx_3_model_2 0.4619962311557789 0.702
fold_7yqx_2_model_3 0.3999811557788945 0.655
fold_7yqx_5_model_3 0.46774748743718597 0.719
fold_7yqx_1_model_4 0.42758668341708544 0.673
fold_7yqx_3_model_1 0.44107914572864326 0.675
fold_7yqx_2_model_0 0.4080502512562814 0.699
fold_7yqx_1_model_0 0.42390075376884423 0.696
fold_7yqx_5_model_2 0.44647864321608044 0.688
fold_7yqx_3_model_4 0.4559321608040201 0.684
fold_7yqx_5_model_0 0.4050213567839196 0.719
fold_7yqx_2_model_2 0.4486017587939699 0.714
fold_7yqx_2_model_1 0.4544811557788945 0.69
fold_7yqx_2_model_4 0.4508241206030151 0.686
fold_7yqz_2_model_0 0.4516292559899117 0.71
fold_7yqz_5_model_1 0.4661967213114754 0.699
fold_7yqz_2_model_2 0.4128310214375788 0.712
fold_7yqz_2_model_3 0.4487137452711223 0.702
fold_7yqz_3_model_1 0.45078436317780574 0.728
fold_7yqz_2_model_4 0.45815132408575027 0.709
fold_7yqz_4_model_1 0.4260201765447667 0.718
fold_7yqz_1_model_1 0.4632723833543505 0.7
fold_7yqz_3_model_3 0.46401261034047914 0.712
fold_7yqz_4_model_0 0.4366658259773014 0.724
fold_7yqz_5_model_3 0.47217780580075663 0.721
fold_7yqz_3_model_4 0.4000580075662043 0.667
fold_7yqz_1_model_2 0.44862547288776794 0.705
fold_7yqz_1_model_0 0.4197414880201766 0.714
fold_7yqz_2_model_1 0.4577591424968474 0.702
fold_7yqz_4_model_4 0.45724590163934425 0.706
fold_7yqz_4_model_2 0.4596166456494325 0.73
fold_7yqz_1_model_4 0.39282597730138713 0.697
fold_7yqz_5_model_4 0.44728121059268605 0.687
fold_7yqz_3_model_2 0.4255838587641866 0.697
fold_7yqz_1_model_3 0.4128839848675914 0.714
fold_7yqz_4_model_3 0.4526986128625473 0.711
fold_7yqz_5_model_0 0.41079319041614126 0.716
fold_7yqz_3_model_0 0.4312988650693569 0.714
fold_7yqz_5_model_2 0.4464287515762925 0.677
fold_7z2m_1_model_3 0.4345056179775281 0.642
fold_7z2m_3_model_1 0.4248651685393259 0.619
fold_7z2m_1_model_1 0.42955056179775286 0.621
fold_7z2m_2_model_1 0.42230337078651686 0.599
fold_7z2m_5_model_3 0.40284269662921346 0.648
fold_7z2m_2_model_4 0.4265393258426966 0.606
fold_7z2m_2_model_3 0.41648314606741577 0.614
fold_7z2m_3_model_3 0.5525454545454546 0.717
fold_7z2m_2_model_2 0.42561797752808994 0.62
fold_7z2m_5_model_4 0.5585909090909091 0.749
fold_7z2m_4_model_1 0.43285393258426963 0.628
fold_7z2m_3_model_4 0.43934831460674156 0.62
fold_7z2m_5_model_1 0.4192696629213483 0.623
fold_7z2m_2_model_0 0.40802247191011237 0.626
fold_7z2m_1_model_4 0.4423595505617978 0.627
fold_7z2m_4_model_4 0.41608988764044946 0.6
fold_7z2m_3_model_2 0.42130337078651686 0.619
fold_7z2m_4_model_0 0.4227752808988764 0.618
fold_7z2m_1_model_2 0.5585909090909091 0.776
fold_7z2m_5_model_2 0.41994382022471916 0.636
fold_7z2m_4_model_3 0.42697752808988765 0.631
fold_7z2m_1_model_0 0.4206629213483146 0.633
fold_7z2m_3_model_0 0.43330337078651693 0.619
fold_7z2m_5_model_0 0.4182696629213483 0.626
fold_7z2m_4_model_2 0.5568636363636364 0.713
fold_7z4t_3_model_2 0.8485176470588236 0.941
fold_7z4t_4_model_4 0.8540000000000001 0.94
fold_7z4t_4_model_0 0.8570470588235293 0.941
fold_7z4t_3_model_0 0.8592000000000001 0.94
fold_7z4t_5_model_3 0.552470588235294 0.591
fold_7z4t_2_model_0 0.8494941176470588 0.939
fold_7z4t_1_model_4 0.6015529411764706 0.702
fold_7z4t_1_model_1 0.5462705882352943 0.668
fold_7z4t_2_model_1 0.8552823529411765 0.94
fold_7z4t_1_model_3 0.5519529411764706 0.607
fold_7z4t_1_model_2 0.5532235294117648 0.652
fold_7z4t_2_model_3 0.8475176470588236 0.942
fold_7z4t_1_model_0 0.5696823529411764 0.652
fold_7z4t_3_model_1 0.8553529411764706 0.942
fold_7z4t_2_model_4 0.8526470588235295 0.941
fold_7z4t_5_model_2 0.558564705882353 0.609
fold_7z4t_4_model_1 0.8571764705882354 0.941
fold_7z4t_2_model_2 0.8512941176470588 0.942
fold_7z4t_5_model_1 0.5612117647058823 0.684
fold_7z4t_3_model_4 0.854 0.941
fold_7z4t_5_model_0 0.5502941176470587 0.623
fold_7z4t_3_model_3 0.834129411764706 0.94
fold_7z4t_5_model_4 0.5740470588235294 0.576
fold_7z4t_4_model_2 0.8575294117647059 0.941
fold_7z4t_4_model_3 0.8439529411764707 0.94
fold_7zf9_5_model_4 0.9055845410628021 0.944
fold_7zf9_3_model_1 0.8800869565217392 0.941
fold_7zf9_2_model_4 0.8873333333333333 0.942
fold_7zf9_4_model_4 0.8314202898550724 0.949
fold_7zf9_1_model_4 0.8923140096618358 0.938
fold_7zf9_3_model_3 0.8881111111111112 0.94
fold_7zf9_4_model_1 0.8809855072463768 0.949
fold_7zf9_5_model_2 0.8668888888888889 0.946
fold_7zf9_3_model_2 0.8937729468599035 0.944
fold_7zf9_2_model_1 0.8975362318840581 0.947
fold_7zf9_2_model_0 0.889743961352657 0.943
fold_7zf9_1_model_1 0.9035652173913045 0.944
fold_7zf9_1_model_0 0.8310628019323673 0.945
fold_7zf9_5_model_1 0.911304347826087 0.942
fold_7zf9_3_model_4 0.8462125603864735 0.923
fold_7zf9_5_model_0 0.8490048309178744 0.94
fold_7zf9_3_model_0 0.8901014492753623 0.946
fold_7zf9_5_model_3 0.8920676328502415 0.932
fold_7zf9_1_model_3 0.8442946859903382 0.944
fold_7zf9_4_model_3 0.8754782608695653 0.951
fold_7zf9_4_model_0 0.8984347826086957 0.957
fold_7zf9_2_model_3 0.8772608695652174 0.94
fold_7zf9_2_model_2 0.8912028985507248 0.943
fold_7zf9_1_model_2 0.8412125603864735 0.942
fold_7zf9_4_model_2 0.8706425120772947 0.954
fold_7zr7_3_model_2 0.859 0.585
fold_7zr7_5_model_1 0.5150105263157895 0.41
fold_7zr7_1_model_1 0.5058736842105263 0.398
fold_7zr7_5_model_0 0.5099578947368422 0.482
fold_7zr7_2_model_0 0.514842105263158 0.441
fold_7zr7_5_model_3 0.5217473684210526 0.446
fold_7zr7_4_model_4 0.5112526315789473 0.461
fold_7zr7_3_model_1 0.49347368421052634 0.459
fold_7zr7_2_model_1 0.45256842105263156 0.443
fold_7zr7_4_model_0 0.5265157894736842 0.491
fold_7zr7_5_model_4 0.5215578947368421 0.484
fold_7zr7_4_model_2 0.5378526315789474 0.495
fold_7zr7_2_model_3 0.513378947368421 0.502
fold_7zr7_3_model_3 0.5197263157894737 0.5
fold_7zr7_5_model_2 0.5081263157894738 0.492
fold_7zr7_1_model_3 0.5319368421052632 0.408
fold_7zr7_2_model_4 0.846 0.604
fold_7zr7_3_model_4 0.5062947368421052 0.499
fold_7zr7_1_model_4 0.5222736842105262 0.524
fold_7zr7_1_model_0 0.847 0.587
fold_7zr7_3_model_0 0.843 0.614
fold_7zr7_1_model_2 0.792 0.594
fold_7zr7_4_model_3 0.5156736842105263 0.487
fold_7zr7_2_model_2 0.514842105263158 0.481
fold_7zr7_4_model_1 0.5366315789473683 0.496
fold_8b7w_1_model_0 0.084 0.113
fold_8b7w_1_model_1 0.059 0.24
fold_8b7w_2_model_0 0.019 0.04
fold_8b7w_4_model_0 0.055 0.158
fold_8b7w_3_model_3 0.012 0.004
fold_8b7w_3_model_0 0.208 0.449
fold_8b7w_1_model_3 0.018 0.07
fold_8b7w_4_model_1 0.055 0.161
fold_8b7w_3_model_4 0.242 0.452
fold_8b7w_5_model_3 0.043 0.0
fold_8b7w_4_model_2 0.057 0.162
fold_8b7w_1_model_2 0.048 0.16
fold_8b7w_1_model_4 0.014 0.0
fold_8b7w_3_model_2 0.14 0.338
fold_8b7w_2_model_2 0.057 0.051
fold_8b7w_5_model_4 0.018 0.001
fold_8b7w_4_model_4 0.036 0.057
fold_8b7w_2_model_3 0.035 0.0
fold_8b7w_2_model_1 0.059 0.005
fold_8b7w_2_model_4 0.034 0.002
fold_8b7w_4_model_3 0.019 0.049
fold_8b7w_3_model_1 0.022 0.052
fold_8b7w_5_model_0 0.015 0.004
fold_8b7w_5_model_1 0.015 0.017
fold_8b7w_5_model_2 0.034 0.0
fold_8f8x_5_model_1 0.015 0.0
fold_8f8x_4_model_2 0.011 0.0
fold_8f8x_3_model_3 0.01 0.0
fold_8f8x_4_model_1 0.011 0.0
fold_8f8x_2_model_1 0.011 0.0
fold_8f8x_2_model_3 0.015 0.0
fold_8f8x_2_model_4 0.017 0.002
fold_8f8x_3_model_4 0.017 0.0
fold_8f8x_1_model_0 0.011 0.0
fold_8f8x_3_model_2 0.01 0.0
fold_8f8x_2_model_0 0.012 0.0
fold_8f8x_4_model_4 0.01 0.0
fold_8f8x_1_model_4 0.099 0.187
fold_8f8x_1_model_1 0.008 0.0
fold_8f8x_4_model_3 0.01 0.0
fold_8f8x_4_model_0 0.011 0.0
fold_8f8x_5_model_2 0.01 0.0
fold_8f8x_3_model_1 0.009 0.0
fold_8f8x_3_model_0 0.015 0.0
fold_8f8x_1_model_2 0.01 0.0
fold_8f8x_5_model_4 0.102 0.21
fold_8f8x_2_model_2 0.01 0.0
fold_8f8x_1_model_3 0.008 0.0
fold_8f8x_5_model_0 0.016 0.0
fold_8f8x_5_model_3 0.01 0.0
fold_8gv6_2_model_1 0.4882461538461538 0.688
fold_8gv6_4_model_2 0.6458058608058608 0.671
fold_8gv6_4_model_0 0.5276861538461538 0.564
fold_8gv6_2_model_0 0.5826892307692307 0.664
fold_8gv6_3_model_1 0.4718523076923077 0.67
fold_8gv6_5_model_4 0.47886153846153845 0.676
fold_8gv6_1_model_0 0.6117630769230769 0.688
fold_8gv6_2_model_3 0.557756923076923 0.611
fold_8gv6_2_model_4 0.5301569230769231 0.578
fold_8gv6_5_model_0 0.45563999999999993 0.591
fold_8gv6_3_model_4 0.45989846153846153 0.61
fold_8gv6_4_model_3 0.5718861538461538 0.594
fold_8gv6_3_model_3 0.4594092307692307 0.63
fold_8gv6_4_model_4 0.5296830769230769 0.6
fold_8gv6_4_model_1 0.7064139194139194 0.694
fold_8gv6_5_model_1 0.4434246153846154 0.668
fold_8gv6_3_model_2 0.47025230769230764 0.689
fold_8gv6_2_model_2 0.5860676923076923 0.667
fold_8gv6_5_model_2 0.4717753846153846 0.676
fold_8gv6_1_model_3 0.5796307692307693 0.614
fold_8gv6_1_model_4 0.5749969230769231 0.624
fold_8gv6_3_model_0 0.45061230769230765 0.586
fold_8gv6_1_model_2 0.5933261538461538 0.681
fold_8gv6_1_model_1 0.5647384615384615 0.664
fold_8gv6_5_model_3 0.4486215384615384 0.599
fold_8gv7_1_model_3 0.49664094955489624 0.662
fold_8gv7_5_model_0 0.5952908011869437 0.736
fold_8gv7_2_model_0 0.592545994065282 0.695
fold_8gv7_5_model_1 0.6129703264094956 0.757
fold_8gv7_2_model_3 0.6087032640949555 0.781
fold_8gv7_5_model_2 0.5786439169139466 0.713
fold_8gv7_2_model_4 0.5747418397626113 0.762
fold_8gv7_1_model_0 0.6059881305637982 0.714
fold_8gv7_4_model_1 0.6014480712166173 0.715
fold_8gv7_1_model_1 0.5788011869436201 0.641
fold_8gv7_4_model_0 0.6030801186943621 0.73
fold_8gv7_2_model_2 0.5795370919881306 0.749
fold_8gv7_3_model_0 0.5947626112759644 0.757
fold_8gv7_4_model_2 0.5529643916913947 0.714
fold_8gv7_4_model_3 0.5856053412462908 0.719
fold_8gv7_3_model_3 0.5755786350148367 0.755
fold_8gv7_5_model_3 0.5797804154302671 0.717
fold_8gv7_3_model_1 0.5862848664688427 0.759
fold_8gv7_5_model_4 0.6043471810089022 0.634
fold_8gv7_3_model_2 0.5787240356083087 0.592
fold_8gv7_1_model_4 0.566572700296736 0.629
fold_8gv7_3_model_4 0.5621750741839763 0.63
fold_8gv7_1_model_2 0.5954243323442137 0.722
fold_8gv7_4_model_4 0.5587626112759644 0.627
fold_8gv7_2_model_1 0.5932551928783383 0.743
fold_8gz5_3_model_3 0.86 0.952
fold_8gz5_4_model_3 0.014 0.0
fold_8gz5_5_model_2 0.87 0.944
fold_8gz5_4_model_2 0.065 0.116
fold_8gz5_1_model_3 0.092 0.315
fold_8gz5_3_model_4 0.873 0.955
fold_8gz5_1_model_1 0.185 0.293
fold_8gz5_4_model_1 0.038 0.15
fold_8gz5_2_model_0 0.852 0.939
fold_8gz5_5_model_4 0.876 0.954
fold_8gz5_3_model_2 0.831 0.943
fold_8gz5_1_model_4 0.066 0.144
fold_8gz5_2_model_3 0.864 0.948
fold_8gz5_5_model_1 0.878 0.948
fold_8gz5_5_model_3 0.883 0.953
fold_8gz5_2_model_4 0.858 0.944
fold_8gz5_2_model_2 0.844 0.94
fold_8gz5_4_model_0 0.057 0.136
fold_8gz5_2_model_1 0.864 0.946
fold_8gz5_4_model_4 0.01 0.0
fold_8gz5_5_model_0 0.88 0.947
fold_8gz5_3_model_0 0.889 0.954
fold_8gz5_3_model_1 0.868 0.946
fold_8gz5_1_model_0 0.509 0.723
fold_8gz5_1_model_2 0.669 0.858
fold_7yqx_4_model_4 0.4516105527638191 0.682
fold_7yqx_4_model_3 0.45425251256281407 0.68
fold_7yqx_4_model_1 0.4152826633165829 0.675
fold_7yqx_4_model_0 0.4443128140703518 0.673
fold_7yqx_4_model_2 0.39804899497487434 0.671
