Target,Model,DockQ,CAPRI
7O27,string_interact_uniref_sto_2,0.713,2.0
7EEP,uniprot_distance_uniref_a3m_4,0.010,0.0
7ALA,uniprot_distance_uniprot_sto_4,0.023,0.0
7LIV,structure_temp_dimer_a_3,0.011,0.0
7LXT,default_3,0.592,2.0
7EKQ,pdb_interact_uniref_sto_1,0.029,0.0
7KBR,no_templates_3,0.781,2.0
7OOP,species_interact_uniref_a3m_1,0.136,0.0
7JZY,ori_temp_pipeline_with_alphafold_models_1,0.058,0.0
7EEP,species_interact_uniprot_sto_3,0.008,0.0
7AMV,uniclust_oxmatch_a3m_2,0.870,3.0
7KBR,pdb_interact_uniprot_sto_3,0.875,3.0
7MJP,sequence_based_template_with_alphafold_2,0.014,0.0
7D7F,string_interact_uniref_a3m_4,0.134,0.0
7OEL,uniprot_distance_uniprot_sto_2,0.738,2.0
7AOF,pdb_interact_uniref_sto_0,0.057,0.0
7OZN,ori_temp_pipeline_with_alphafold_models_4,0.011,0.0
7AP8,ori_template_pipeline_0,0.024,0.0
7LIV,species_interact_uniref_sto_4,0.005,0.0
7OEL,uniprot_distance_uniref_sto_3,0.724,2.0
7AP8,custom_template_file_2,0.011,0.0
7ALB,string_interact_uniref_a3m_1,0.005,0.0
7EEP,species_interact_uniref_a3m_1,0.015,0.0
7ALB,no_templates_3,0.007,0.0
7MJP,ori_template_pipeline_4,0.020,0.0
7KBR,custom_template_with_alphafold_models_3,0.867,3.0
7L2M,no_templates_1,0.007,0.0
7EKQ,sequence_based_template_0,0.126,0.0
7OEL,ori_template_pipeline_1,0.721,2.0
7OI7,ori_template_pipeline_1,0.087,0.0
7D7F,uniprot_distance_uniref_a3m_2,0.006,0.0
7MJP,pdb_interact_uniprot_sto_3,0.018,0.0
7LIV,custom_template_with_alphafold_models_0,0.008,0.0
7LXT,structure_temp_dimer_0,0.581,2.0
7D7F,species_interact_uniref_a3m_1,0.007,0.0
7O28,pdb_interact_uniprot_sto_2,0.734,2.0
7EEL,species_interact_uniref_a3m_3,0.025,0.0
7AOF,default_2,0.110,0.0
7OZN,uniprot_distance_uniref_a3m_0,0.010,0.0
7EKQ,sequence_based_template_3,0.037,0.0
7AOH,pdb_interact_uniref_sto_0,0.901,3.0
7JZY,sequence_based_template_0,0.041,0.0
7MJP,uniprot_distance_uniprot_sto_1,0.024,0.0
7O28,pdb_interact_uniref_a3m_3,0.769,2.0
7EEL,string_interact_uniref_a3m_2,0.047,0.0
7AOF,ori_temp_pipeline_with_alphafold_models_2,0.059,0.0
7EEL,structure_temp_dimer_3,0.019,0.0
7OZN,sequence_based_template_with_alphafold_4,0.031,0.0
7F5B,custom_template_with_alphafold_models_3,0.008,0.0
7ALB,ori_temp_pipeline_with_alphafold_models_2,0.007,0.0
7ALB,ori_template_pipeline_3,0.007,0.0
7AOH,sequence_based_template_with_alphafold_2,0.716,2.0
7EEP,species_interact_uniprot_sto_0,0.010,0.0
7AMV,ori_template_pipeline_3,0.871,3.0
7O27,pdb_interact_uniref_sto_1,0.693,2.0
7O28,species_interact_uniref_sto_2,0.744,2.0
7O27,uniprot_distance_uniref_a3m_1,0.755,2.0
7OI7,uniclust_oxmatch_a3m_0,0.006,0.0
7NKZ,pdb_interact_uniprot_sto_3,0.919,3.0
7MRW,string_interact_uniref_a3m_2,0.588,2.0
7F5B,uniclust_oxmatch_a3m_2,0.009,0.0
7D3Y,sequence_based_template_with_alphafold_0,0.326,1.0
7NKZ,sequence_based_template_with_alphafold_4,0.804,3.0
7O28,default_1,0.727,2.0
7LXT,uniclust_oxmatch_a3m_1,0.013,0.0
7LXT,uniprot_distance_uniref_sto_2,0.312,1.0
7AOF,no_templates_3,0.080,0.0
7O27,species_interact_uniref_sto_3,0.736,2.0
7MRW,custom_template_with_alphafold_models_2,0.011,0.0
7D3Y,species_interact_uniprot_sto_1,0.035,0.0
7P3Z,structure_temp_dimer_a_4,0.035,0.0
7OZN,ori_template_pipeline_2,0.010,0.0
7OOP,pdb_interact_uniref_sto_4,0.153,0.0
7MRW,string_interact_uniprot_sto_3,0.542,2.0
7OOP,custom_template_with_alphafold_models_3,0.111,0.0
7AOF,uniprot_distance_uniref_a3m_3,0.090,0.0
7EEP,uniprot_distance_uniprot_sto_3,0.007,0.0
7D3Y,custom_template_with_alphafold_models_0,0.326,1.0
7LXT,string_interact_uniref_a3m_0,0.090,0.0
7F5B,string_interact_uniref_a3m_4,0.009,0.0
7ALB,structure_temp_dimer_0,0.006,0.0
7EEP,sequence_based_template_with_alphafold_2,0.017,0.0
7AOF,uniprot_distance_uniref_a3m_0,0.087,0.0
7F5B,uniclust_oxmatch_a3m_4,0.009,0.0
7AP8,species_interact_uniprot_sto_2,0.033,0.0
7OEL,ori_template_pipeline_3,0.722,2.0
7MRW,default_3,0.588,2.0
7AMV,sequence_based_template_4,0.880,3.0
7EEL,uniprot_distance_uniprot_sto_3,0.026,0.0
7O27,pdb_interact_uniprot_sto_3,0.710,2.0
7MRW,default_1,0.580,2.0
7F5B,structure_temp_dimer_a_2,0.002,0.0
7AOH,species_interact_uniref_sto_1,0.917,3.0
7JZY,species_interact_uniref_sto_1,0.045,0.0
7JZY,no_templates_3,0.034,0.0
7O28,species_interact_uniref_a3m_2,0.765,2.0
7AOF,pdb_interact_uniprot_sto_4,0.051,0.0
7NKZ,ori_template_pipeline_3,0.915,3.0
7AOF,default_3,0.098,0.0
7D3Y,uniprot_distance_uniref_sto_2,0.023,0.0
7O28,uniclust_oxmatch_a3m_2,0.754,2.0
7D3Y,default_0,0.317,1.0
7EKQ,pdb_interact_uniref_a3m_3,0.021,0.0
7MJP,structure_temp_dimer_3,0.014,0.0
7OZN,sequence_based_template_with_alphafold_2,0.010,0.0
7D7F,ori_temp_pipeline_with_alphafold_models_1,0.006,0.0
7F5B,species_interact_uniref_a3m_1,0.010,0.0
7OZN,structure_temp_dimer_1,0.009,0.0
7JZY,structure_temp_dimer_4,0.039,0.0
7KBR,sequence_based_template_1,0.949,3.0
7F5B,uniprot_distance_uniprot_sto_1,0.002,0.0
7EKQ,default_1,0.028,0.0
7O27,species_interact_uniprot_sto_1,0.717,2.0
7O28,string_interact_uniprot_sto_2,0.741,2.0
7OZN,species_interact_uniprot_sto_3,0.011,0.0
7OZN,species_interact_uniref_sto_3,0.039,0.0
7NKZ,structure_temp_dimer_a_2,0.824,3.0
7OI7,pdb_interact_uniprot_sto_0,0.014,0.0
7OI7,species_interact_uniref_a3m_2,0.006,0.0
7AP8,no_templates_4,0.030,0.0
7D3Y,uniprot_distance_uniprot_sto_0,0.011,0.0
7ALA,string_interact_uniref_sto_1,0.010,0.0
7D3Y,structure_temp_dimer_a_2,0.324,1.0
7D3Y,no_templates_2,0.014,0.0
7AOF,structure_temp_dimer_4,0.081,0.0
7JZY,uniclust_oxmatch_a3m_4,0.027,0.0
7P3Z,structure_temp_dimer_4,0.035,0.0
7LXT,pdb_interact_uniprot_sto_4,0.218,0.0
7O28,no_templates_1,0.549,2.0
7LXT,uniprot_distance_uniref_a3m_0,0.091,0.0
7D7F,custom_template_file_1,0.007,0.0
7AMV,ori_temp_pipeline_with_alphafold_models_1,0.809,3.0
7ALA,custom_template_file_4,0.033,0.0
7F5B,custom_template_file_2,0.002,0.0
7ALB,species_interact_uniprot_sto_0,0.006,0.0
7NKZ,string_interact_uniref_a3m_1,0.762,2.0
7OI7,structure_temp_dimer_a_4,0.009,0.0
7OEL,pdb_interact_uniprot_sto_3,0.731,2.0
7O27,species_interact_uniref_a3m_3,0.742,2.0
7NKZ,no_templates_0,0.862,3.0
7LXT,pdb_interact_uniref_sto_2,0.155,0.0
7EEP,ori_template_pipeline_4,0.011,0.0
7ALB,sequence_based_template_2,0.007,0.0
7OEL,custom_template_file_4,0.707,2.0
7MRW,sequence_based_template_with_alphafold_0,0.006,0.0
7MRW,structure_temp_dimer_1,0.009,0.0
7JZY,species_interact_uniref_a3m_1,0.036,0.0
7ALA,uniclust_oxmatch_a3m_4,0.009,0.0
7D7F,uniprot_distance_uniprot_sto_0,0.011,0.0
7O28,string_interact_uniref_a3m_2,0.738,2.0
7O27,custom_template_with_alphafold_models_1,0.395,1.0
7ALA,string_interact_uniref_a3m_1,0.009,0.0
7OI7,sequence_based_template_3,0.017,0.0
7OOP,ori_template_pipeline_2,0.122,0.0
7AOF,custom_template_with_alphafold_models_0,0.104,0.0
7AMV,structure_temp_dimer_3,0.887,3.0
7ALA,pdb_interact_uniprot_sto_2,0.012,0.0
7NKZ,pdb_interact_uniprot_sto_2,0.917,3.0
7D3Y,custom_template_file_0,0.329,1.0
7O28,custom_template_with_alphafold_models_1,0.709,2.0
7OZN,uniclust_oxmatch_a3m_1,0.010,0.0
7MRW,species_interact_uniref_a3m_0,0.585,2.0
7O27,default_4,0.716,2.0
7JZY,structure_temp_dimer_a_2,0.063,0.0
7OOP,custom_template_file_2,0.126,0.0
7LIV,default_3,0.004,0.0
7EEL,species_interact_uniprot_sto_4,0.024,0.0
7ALA,string_interact_uniref_a3m_4,0.009,0.0
7P3Z,string_interact_uniref_a3m_0,0.030,0.0
7OZN,pdb_interact_uniprot_sto_3,0.054,0.0
7ALB,pdb_interact_uniprot_sto_2,0.006,0.0
7P3Z,uniprot_distance_uniref_a3m_0,0.030,0.0
7O28,default_0,0.736,2.0
7LXT,ori_temp_pipeline_with_alphafold_models_2,0.594,2.0
7KBR,uniclust_oxmatch_a3m_1,0.950,3.0
7AOF,species_interact_uniref_sto_0,0.101,0.0
7EKQ,string_interact_uniprot_sto_1,0.034,0.0
7MRW,uniprot_distance_uniprot_sto_1,0.607,2.0
7EEL,sequence_based_template_4,0.019,0.0
7ALA,custom_template_file_0,0.012,0.0
7ALB,string_interact_uniref_sto_3,0.008,0.0
7EEP,no_templates_0,0.008,0.0
7KBR,uniprot_distance_uniref_sto_2,0.924,3.0
7AOH,ori_temp_pipeline_with_alphafold_models_3,0.699,2.0
7EEP,sequence_based_template_4,0.010,0.0
7KBR,sequence_based_template_2,0.934,3.0
7NKZ,string_interact_uniref_a3m_4,0.776,2.0
7OZN,structure_temp_dimer_a_1,0.011,0.0
7P3Z,pdb_interact_uniref_a3m_4,0.027,0.0
7OI7,default_3,0.024,0.0
7AMV,default_4,0.871,3.0
7MRW,structure_temp_dimer_a_0,0.006,0.0
7AOF,uniclust_oxmatch_a3m_3,0.056,0.0
7D7F,uniprot_distance_uniref_a3m_4,0.443,1.0
7EKQ,string_interact_uniref_a3m_2,0.020,0.0
7EKQ,string_interact_uniref_sto_4,0.025,0.0
7AOF,pdb_interact_uniprot_sto_1,0.087,0.0
7D7F,string_interact_uniref_sto_0,0.007,0.0
7LIV,structure_temp_dimer_0,0.011,0.0
7P3Z,no_templates_4,0.034,0.0
7AOF,species_interact_uniref_sto_2,0.090,0.0
7EEL,uniprot_distance_uniref_sto_2,0.012,0.0
7O28,uniclust_oxmatch_a3m_3,0.760,2.0
7D3Y,sequence_based_template_with_alphafold_2,0.324,1.0
7O28,uniprot_distance_uniref_sto_4,0.744,2.0
7L2M,sequence_based_template_with_alphafold_3,0.025,0.0
7LXT,species_interact_uniref_a3m_2,0.091,0.0
7O27,uniprot_distance_uniprot_sto_1,0.681,2.0
7KBR,sequence_based_template_with_alphafold_2,0.922,3.0
7MJP,ori_temp_pipeline_with_alphafold_models_3,0.014,0.0
7AOH,sequence_based_template_3,0.901,3.0
7NKZ,custom_template_with_alphafold_models_0,0.821,3.0
7OI7,string_interact_uniref_a3m_4,0.006,0.0
7OZN,uniprot_distance_uniref_sto_0,0.274,1.0
7EKQ,string_interact_uniref_a3m_1,0.021,0.0
7OEL,string_interact_uniprot_sto_3,0.717,2.0
7ALA,sequence_based_template_3,0.012,0.0
7L2M,pdb_interact_uniprot_sto_3,0.011,0.0
7O28,structure_temp_dimer_2,0.712,2.0
7F5B,structure_temp_dimer_2,0.008,0.0
7OZN,species_interact_uniref_a3m_2,0.011,0.0
7NKZ,species_interact_uniprot_sto_2,0.927,3.0
7F5B,default_4,0.002,0.0
7AOH,species_interact_uniprot_sto_2,0.902,3.0
7MRW,custom_template_with_alphafold_models_3,0.010,0.0
7L2M,pdb_interact_uniprot_sto_2,0.015,0.0
7NKZ,ori_template_pipeline_1,0.927,3.0
7LIV,no_templates_4,0.004,0.0
7OEL,sequence_based_template_with_alphafold_2,0.697,2.0
7F5B,species_interact_uniref_sto_0,0.009,0.0
7AMV,structure_temp_dimer_0,0.886,3.0
7OI7,species_interact_uniref_sto_4,0.005,0.0
7KBR,structure_temp_dimer_4,0.882,3.0
7P3Z,pdb_interact_uniprot_sto_0,0.034,0.0
7ALA,ori_temp_pipeline_with_alphafold_models_0,0.014,0.0
7ALB,pdb_interact_uniprot_sto_0,0.007,0.0
7P3Z,custom_template_file_4,0.035,0.0
7O27,string_interact_uniprot_sto_2,0.709,2.0
7OOP,uniclust_oxmatch_a3m_3,0.134,0.0
7LXT,pdb_interact_uniprot_sto_0,0.095,0.0
7ALA,sequence_based_template_2,0.017,0.0
7D7F,pdb_interact_uniprot_sto_4,0.016,0.0
7P3Z,pdb_interact_uniprot_sto_3,0.031,0.0
7MRW,species_interact_uniref_sto_0,0.482,1.0
7JZY,structure_temp_dimer_2,0.024,0.0
7AOF,pdb_interact_uniref_sto_1,0.045,0.0
7OZN,default_0,0.007,0.0
7P3Z,uniprot_distance_uniprot_sto_1,0.034,0.0
7OEL,species_interact_uniref_a3m_3,0.751,2.0
7AOF,species_interact_uniprot_sto_0,0.078,0.0
7AOF,uniprot_distance_uniref_sto_4,0.113,0.0
7EKQ,string_interact_uniref_sto_2,0.032,0.0
7AOH,custom_template_with_alphafold_models_2,0.716,2.0
7OEL,species_interact_uniref_a3m_2,0.752,2.0
7OEL,string_interact_uniref_a3m_0,0.748,2.0
7ALA,string_interact_uniprot_sto_3,0.025,0.0
7LIV,species_interact_uniprot_sto_2,0.009,0.0
7D7F,uniprot_distance_uniref_sto_0,0.016,0.0
7ALB,string_interact_uniprot_sto_4,0.006,0.0
7JZY,uniclust_oxmatch_a3m_2,0.041,0.0
7AOF,uniclust_oxmatch_a3m_4,0.041,0.0
7LXT,uniprot_distance_uniref_a3m_1,0.098,0.0
7EEL,uniprot_distance_uniref_a3m_3,0.051,0.0
7AP8,pdb_interact_uniprot_sto_0,0.027,0.0
7O27,no_templates_1,0.480,1.0
7OZN,species_interact_uniref_a3m_3,0.011,0.0
7OZN,species_interact_uniref_sto_1,0.008,0.0
7KBR,string_interact_uniref_a3m_4,0.949,3.0
7P3Z,custom_template_file_1,0.033,0.0
7ALB,string_interact_uniref_a3m_4,0.006,0.0
7O28,no_templates_4,0.495,2.0
7OOP,uniprot_distance_uniprot_sto_0,0.170,0.0
7OEL,uniprot_distance_uniref_a3m_1,0.748,2.0
7F5B,sequence_based_template_4,0.008,0.0
7AP8,uniclust_oxmatch_a3m_2,0.018,0.0
7OEL,string_interact_uniref_sto_0,0.722,2.0
7AMV,custom_template_with_alphafold_models_4,0.826,3.0
7OI7,pdb_interact_uniref_sto_2,0.018,0.0
7ALB,uniclust_oxmatch_a3m_2,0.008,0.0
7F5B,species_interact_uniref_a3m_3,0.008,0.0
7D7F,ori_temp_pipeline_with_alphafold_models_3,0.006,0.0
7MRW,uniclust_oxmatch_a3m_2,0.534,2.0
7D3Y,no_templates_0,0.311,1.0
7OEL,custom_template_with_alphafold_models_3,0.696,2.0
7OZN,string_interact_uniref_sto_1,0.016,0.0
7D7F,sequence_based_template_with_alphafold_2,0.006,0.0
7AMV,ori_temp_pipeline_with_alphafold_models_3,0.823,3.0
7KBR,ori_template_pipeline_0,0.879,3.0
7LIV,uniprot_distance_uniref_sto_1,0.003,0.0
7AP8,custom_template_with_alphafold_models_4,0.016,0.0
7AOF,custom_template_file_2,0.036,0.0
7D3Y,string_interact_uniref_a3m_1,0.026,0.0
7D3Y,sequence_based_template_3,0.133,0.0
7EKQ,species_interact_uniref_a3m_4,0.017,0.0
7EEL,ori_template_pipeline_3,0.020,0.0
7OOP,custom_template_file_4,0.127,0.0
7D3Y,uniclust_oxmatch_a3m_3,0.071,0.0
7AOF,pdb_interact_uniprot_sto_0,0.097,0.0
7O28,sequence_based_template_3,0.618,2.0
7EKQ,uniclust_oxmatch_a3m_3,0.023,0.0
7L2M,sequence_based_template_4,0.009,0.0
7AOF,uniclust_oxmatch_a3m_0,0.034,0.0
7EEP,no_templates_2,0.007,0.0
7F5B,uniprot_distance_uniprot_sto_4,0.008,0.0
7OI7,structure_temp_dimer_a_0,0.021,0.0
7O27,ori_temp_pipeline_with_alphafold_models_2,0.397,1.0
7P3Z,ori_template_pipeline_3,0.029,0.0
7AP8,structure_temp_dimer_a_2,0.012,0.0
7MJP,sequence_based_template_3,0.013,0.0
7OI7,ori_temp_pipeline_with_alphafold_models_0,0.021,0.0
7NKZ,ori_temp_pipeline_with_alphafold_models_3,0.819,3.0
7F5B,string_interact_uniref_a3m_1,0.009,0.0
7OI7,string_interact_uniref_a3m_3,0.006,0.0
7LXT,sequence_based_template_with_alphafold_1,0.592,2.0
7OI7,structure_temp_dimer_4,0.005,0.0
7EEL,species_interact_uniref_sto_0,0.024,0.0
7MJP,uniprot_distance_uniref_a3m_4,0.013,0.0
7D7F,pdb_interact_uniref_sto_2,0.016,0.0
7AP8,sequence_based_template_4,0.016,0.0
7OI7,ori_temp_pipeline_with_alphafold_models_1,0.006,0.0
7OOP,structure_temp_dimer_0,0.154,0.0
7AMV,sequence_based_template_with_alphafold_1,0.809,3.0
7OZN,ori_template_pipeline_0,0.302,1.0
7AOF,species_interact_uniref_a3m_1,0.103,0.0
7O27,structure_temp_dimer_1,0.492,2.0
7L2M,ori_temp_pipeline_with_alphafold_models_0,0.014,0.0
7AP8,species_interact_uniref_sto_4,0.011,0.0
7AOF,species_interact_uniprot_sto_2,0.044,0.0
7MRW,custom_template_with_alphafold_models_1,0.006,0.0
7AOF,species_interact_uniref_sto_4,0.061,0.0
7MRW,structure_temp_dimer_0,0.006,0.0
7OEL,sequence_based_template_with_alphafold_0,0.705,2.0
7AOF,default_1,0.069,0.0
7EKQ,uniclust_oxmatch_a3m_0,0.033,0.0
7D3Y,string_interact_uniref_sto_3,0.039,0.0
7KBR,string_interact_uniref_sto_2,0.933,3.0
7O28,custom_template_file_3,0.718,2.0
7OEL,custom_template_file_1,0.700,2.0
7EEP,species_interact_uniprot_sto_2,0.009,0.0
7MJP,pdb_interact_uniprot_sto_1,0.025,0.0
7EEL,sequence_based_template_with_alphafold_3,0.011,0.0
7LIV,sequence_based_template_3,0.006,0.0
7P3Z,sequence_based_template_2,0.032,0.0
7LXT,species_interact_uniref_a3m_4,0.585,2.0
7EEP,uniprot_distance_uniref_sto_3,0.011,0.0
7NKZ,uniprot_distance_uniref_a3m_2,0.760,2.0
7OZN,species_interact_uniprot_sto_4,0.015,0.0
7D7F,ori_template_pipeline_4,0.011,0.0
7O28,sequence_based_template_with_alphafold_2,0.709,2.0
7AOF,custom_template_with_alphafold_models_3,0.060,0.0
7D7F,structure_temp_dimer_a_2,0.006,0.0
7AP8,ori_template_pipeline_2,0.021,0.0
7D3Y,uniclust_oxmatch_a3m_0,0.012,0.0
7EKQ,uniprot_distance_uniprot_sto_3,0.031,0.0
7O27,uniclust_oxmatch_a3m_1,0.734,2.0
7AOH,ori_template_pipeline_2,0.904,3.0
7D7F,default_3,0.016,0.0
7P3Z,species_interact_uniref_a3m_2,0.031,0.0
7ALA,pdb_interact_uniref_sto_2,0.013,0.0
7OOP,ori_temp_pipeline_with_alphafold_models_1,0.123,0.0
7EEP,species_interact_uniref_sto_3,0.008,0.0
7OOP,sequence_based_template_with_alphafold_3,0.111,0.0
7D3Y,uniprot_distance_uniref_a3m_2,0.036,0.0
7EEP,custom_template_with_alphafold_models_4,0.007,0.0
7NKZ,pdb_interact_uniref_sto_2,0.909,3.0
7MJP,sequence_based_template_4,0.013,0.0
7LIV,sequence_based_template_with_alphafold_0,0.009,0.0
7KBR,custom_template_file_3,0.973,3.0
7F5B,no_templates_3,0.002,0.0
7EEL,uniprot_distance_uniref_a3m_2,0.034,0.0
7EEL,no_templates_2,0.017,0.0
7P3Z,sequence_based_template_with_alphafold_2,0.042,0.0
7OI7,species_interact_uniprot_sto_1,0.024,0.0
7LIV,species_interact_uniref_sto_1,0.009,0.0
7AOH,ori_template_pipeline_1,0.910,3.0
7OZN,structure_temp_dimer_a_4,0.011,0.0
7P3Z,uniclust_oxmatch_a3m_0,0.028,0.0
7P3Z,species_interact_uniprot_sto_3,0.035,0.0
7EKQ,string_interact_uniref_a3m_3,0.020,0.0
7KBR,uniprot_distance_uniref_a3m_1,0.949,3.0
7KBR,string_interact_uniprot_sto_0,0.864,3.0
7LIV,sequence_based_template_with_alphafold_1,0.008,0.0
7MRW,species_interact_uniref_a3m_4,0.571,2.0
7NKZ,default_4,0.916,3.0
7LIV,no_templates_0,0.004,0.0
7D7F,custom_template_with_alphafold_models_1,0.006,0.0
7OEL,structure_temp_dimer_0,0.696,2.0
7AP8,ori_temp_pipeline_with_alphafold_models_1,0.009,0.0
7KBR,ori_temp_pipeline_with_alphafold_models_1,0.906,3.0
7F5B,default_0,0.008,0.0
7P3Z,uniprot_distance_uniprot_sto_4,0.031,0.0
7AP8,species_interact_uniref_a3m_3,0.009,0.0
7D7F,sequence_based_template_3,0.006,0.0
7D7F,sequence_based_template_1,0.006,0.0
7F5B,pdb_interact_uniref_a3m_1,0.009,0.0
7OZN,default_4,0.015,0.0
7OZN,sequence_based_template_with_alphafold_0,0.501,2.0
7LIV,ori_temp_pipeline_with_alphafold_models_2,0.010,0.0
7O27,pdb_interact_uniprot_sto_4,0.714,2.0
7NKZ,structure_temp_dimer_a_3,0.817,3.0
7O28,custom_template_with_alphafold_models_0,0.712,2.0
7P3Z,string_interact_uniref_a3m_2,0.029,0.0
7OI7,species_interact_uniprot_sto_0,0.006,0.0
7AOF,sequence_based_template_4,0.088,0.0
7P3Z,uniprot_distance_uniprot_sto_3,0.032,0.0
7EKQ,ori_temp_pipeline_with_alphafold_models_3,0.148,0.0
7LXT,custom_template_file_4,0.595,2.0
7NKZ,uniprot_distance_uniref_a3m_0,0.758,2.0
7EKQ,sequence_based_template_with_alphafold_4,0.148,0.0
7ALA,species_interact_uniprot_sto_1,0.021,0.0
7OZN,custom_template_with_alphafold_models_4,0.032,0.0
7OOP,species_interact_uniref_sto_0,0.133,0.0
7NKZ,sequence_based_template_0,0.929,3.0
7OZN,string_interact_uniref_sto_0,0.009,0.0
7LIV,uniprot_distance_uniref_sto_3,0.004,0.0
7LXT,custom_template_with_alphafold_models_1,0.592,2.0
7F5B,pdb_interact_uniref_a3m_2,0.011,0.0
7LXT,structure_temp_dimer_4,0.599,2.0
7EEL,species_interact_uniref_a3m_0,0.041,0.0
7NKZ,uniprot_distance_uniprot_sto_1,0.932,3.0
7D3Y,string_interact_uniprot_sto_0,0.017,0.0
7OI7,string_interact_uniref_sto_4,0.006,0.0
7OEL,default_1,0.718,2.0
7P3Z,pdb_interact_uniprot_sto_4,0.031,0.0
7OEL,structure_temp_dimer_1,0.700,2.0
7NKZ,custom_template_file_2,0.928,3.0
7ALA,pdb_interact_uniref_sto_1,0.018,0.0
7O27,uniprot_distance_uniref_a3m_0,0.742,2.0
7OEL,sequence_based_template_with_alphafold_4,0.696,2.0
7OEL,species_interact_uniprot_sto_2,0.721,2.0
7MJP,sequence_based_template_0,0.022,0.0
7AOH,structure_temp_dimer_4,0.926,3.0
7AP8,species_interact_uniref_sto_2,0.031,0.0
7OEL,uniclust_oxmatch_a3m_0,0.746,2.0
7MJP,no_templates_4,0.016,0.0
7AOH,uniclust_oxmatch_a3m_4,0.857,3.0
7MJP,species_interact_uniref_a3m_4,0.015,0.0
7KBR,uniprot_distance_uniprot_sto_2,0.870,3.0
7AMV,custom_template_with_alphafold_models_1,0.809,3.0
7ALB,species_interact_uniref_sto_3,0.007,0.0
7LIV,custom_template_file_4,0.008,0.0
7OEL,structure_temp_dimer_4,0.707,2.0
7F5B,string_interact_uniprot_sto_0,0.008,0.0
7OI7,string_interact_uniref_sto_3,0.015,0.0
7O28,ori_template_pipeline_2,0.737,2.0
7EKQ,ori_template_pipeline_0,0.222,0.0
7ALA,uniclust_oxmatch_a3m_3,0.008,0.0
7D3Y,custom_template_file_1,0.012,0.0
7AMV,no_templates_1,0.546,2.0
7MJP,ori_template_pipeline_1,0.025,0.0
7P3Z,string_interact_uniref_sto_1,0.030,0.0
7LIV,structure_temp_dimer_1,0.012,0.0
7OZN,species_interact_uniprot_sto_0,0.270,1.0
7MRW,species_interact_uniprot_sto_0,0.590,2.0
7D7F,sequence_based_template_2,0.006,0.0
7D3Y,species_interact_uniref_sto_2,0.026,0.0
7OOP,sequence_based_template_2,0.119,0.0
7EKQ,uniclust_oxmatch_a3m_2,0.023,0.0
7ALB,species_interact_uniref_sto_4,0.007,0.0
7F5B,string_interact_uniref_a3m_3,0.010,0.0
7F5B,sequence_based_template_1,0.009,0.0
7ALB,string_interact_uniref_sto_0,0.007,0.0
7AMV,uniclust_oxmatch_a3m_4,0.871,3.0
7MJP,string_interact_uniref_sto_4,0.022,0.0
7EEL,structure_temp_dimer_1,0.023,0.0
7ALB,ori_temp_pipeline_with_alphafold_models_1,0.007,0.0
7OEL,no_templates_1,0.380,1.0
7LXT,ori_template_pipeline_2,0.560,2.0
7EEP,uniclust_oxmatch_a3m_2,0.015,0.0
7ALA,custom_template_file_2,0.028,0.0
7P3Z,sequence_based_template_3,0.041,0.0
7O28,uniprot_distance_uniprot_sto_4,0.735,2.0
7ALB,pdb_interact_uniref_sto_3,0.008,0.0
7OI7,structure_temp_dimer_3,0.089,0.0
7LIV,species_interact_uniprot_sto_4,0.010,0.0
7AMV,no_templates_4,0.556,2.0
7OZN,structure_temp_dimer_3,0.010,0.0
7MJP,species_interact_uniprot_sto_1,0.025,0.0
7EKQ,structure_temp_dimer_1,0.055,0.0
7MJP,structure_temp_dimer_2,0.019,0.0
7LXT,structure_temp_dimer_a_4,0.591,2.0
7OOP,ori_temp_pipeline_with_alphafold_models_3,0.111,0.0
7EKQ,custom_template_file_1,0.164,0.0
7OEL,string_interact_uniprot_sto_0,0.723,2.0
7JZY,uniclust_oxmatch_a3m_0,0.023,0.0
7O27,uniprot_distance_uniref_sto_1,0.699,2.0
7OOP,uniprot_distance_uniref_sto_2,0.153,0.0
7AOF,custom_template_with_alphafold_models_2,0.059,0.0
7KBR,default_3,0.887,3.0
7D3Y,pdb_interact_uniref_a3m_0,0.025,0.0
7F5B,species_interact_uniprot_sto_4,0.007,0.0
7EEL,sequence_based_template_3,0.018,0.0
7D3Y,custom_template_file_3,0.333,1.0
7D3Y,structure_temp_dimer_4,0.013,0.0
7ALB,pdb_interact_uniref_sto_0,0.007,0.0
7L2M,pdb_interact_uniprot_sto_4,0.012,0.0
7AOF,ori_temp_pipeline_with_alphafold_models_3,0.060,0.0
7AMV,custom_template_file_3,0.884,3.0
7OEL,custom_template_with_alphafold_models_4,0.696,2.0
7D7F,structure_temp_dimer_2,0.006,0.0
7AP8,default_1,0.011,0.0
7MJP,species_interact_uniref_sto_2,0.023,0.0
7AP8,uniclust_oxmatch_a3m_3,0.008,0.0
7EKQ,uniprot_distance_uniprot_sto_2,0.028,0.0
7P3Z,ori_template_pipeline_4,0.035,0.0
7P3Z,uniclust_oxmatch_a3m_2,0.040,0.0
7AOF,ori_template_pipeline_4,0.091,0.0
7ALB,string_interact_uniprot_sto_0,0.010,0.0
7EEL,string_interact_uniref_a3m_4,0.024,0.0
7JZY,structure_temp_dimer_1,0.026,0.0
7OI7,uniprot_distance_uniprot_sto_0,0.007,0.0
7OI7,uniclust_oxmatch_a3m_3,0.017,0.0
